Removed Pin From Net: NetName=NetC5_2 Pin=R1-1
Removed Pin From Net: NetName=NetIC1_10 Pin=R1-2
Removed Pin From Net: NetName=GND Pin=R7-1
Removed Pin From Net: NetName=NetIC1_2 Pin=R7-2
Change Component Comment : Designator=C1 Old Comment=Capacitor New Comment=1uF
Change Component Comment : Designator=C3 Old Comment=Capacitor New Comment=2.2uF/1206
Change Component Comment : Designator=C6 Old Comment=Capacitor New Comment=10uF/1812
Change Component Comment : Designator=C5 Old Comment=Capacitor New Comment=10uF
Change Component Comment : Designator=C2 Old Comment=Capacitor New Comment=22uF
Change Component Comment : Designator=R6 Old Comment=FB1 New Comment=100K
Change Component Comment : Designator=R8 Old Comment=FB2 New Comment=300K
Change Component Comment : Designator=L1 Old Comment=Inductor New Comment=5.6uH
Change Component Comment : Designator=R1 Old Comment=Resistor generic New Comment=0.01R
Change Component Comment : Designator=R7 Old Comment=Resistor generic New Comment=39K
Change Component Comment : Designator=R2 Old Comment=Resistor generic New Comment=47K 
Change Component Comment : Designator=F-D1 Old Comment=Resistor generic New Comment=Fuse
Change component parameters: Designator = "R1"; Footprint = "1812 RES"; UniqueID = "\HVSMFTYO"
Change component parameters (AddParameter): Name = "Part # Aliases"; Value = "C1812C106K3RAC7800"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Pricing 1"; Value = "1=3.18, 50=1.5, 100=1.25, 250=1.07 (EUR)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Product"; Value = "General Type MLCCs"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Product Category"; Value = "Multilayer Ceramic Capacitors MLCC - SMD/SMT"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "RoHS"; Value = "Details"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Series"; Value = "C1812C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Stock 1"; Value = "1665"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "Farnell"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "1358500"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Termination Style"; Value = "SMD/SMT"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance"; Value = "10 %"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Type"; Value = "SMD MLCC X7R 6.3 - 250 VDC Commerical Grade"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage Rating DC"; Value = "25 VDC"; VariantName = "[No Variations]"
Change component parameters: Designator = "R2"; Footprint = "0603 RES"; UniqueID = "\BQPTGBVY"
Change component parameters. Clean all parameters for all variants
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "https://datasheet.ciiva.com/11808/0900766b80fe20f7-11808041.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = "https://datasheet.ciiva.com/11808/0900766b80fe20f7-11808041.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = "https://datasheet.ciiva.com/29183/451523-da-01-en-widerstand-0603-era-29183849.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = "https://datasheet.ciiva.com/29183/451523-da-01-en-widerstand-0603-era-29183849.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink3Description"; Value = "https://datasheet.ciiva.com/46422/485442-46422694.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink3URL"; Value = "https://datasheet.ciiva.com/46422/485442-46422694.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink4Description"; Value = "https://datasheet.ciiva.com/43455/485442-43455239.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink4URL"; Value = "https://datasheet.ciiva.com/43455/485442-43455239.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink5Description"; Value = "https://datasheet.ciiva.com/46422/485442-46422695.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink5URL"; Value = "https://datasheet.ciiva.com/46422/485442-46422695.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink6Description"; Value = "https://datasheet.ciiva.com/16763/70068849-16763496.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink6URL"; Value = "https://datasheet.ciiva.com/16763/70068849-16763496.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink7Description"; Value = "https://datasheet.ciiva.com/46422/485442-46422696.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink7URL"; Value = "https://datasheet.ciiva.com/46422/485442-46422696.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink8Description"; Value = "https://datasheet.ciiva.com/9189/aoa0000ce26-9189371.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink8URL"; Value = "https://datasheet.ciiva.com/9189/aoa0000ce26-9189371.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink9Description"; Value = "https://datasheet.ciiva.com/48530/era-eng-tds-48530428.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink9URL"; Value = "https://datasheet.ciiva.com/48530/era-eng-tds-48530428.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink10Description"; Value = "https://datasheet.ciiva.com/6137/485442-6137967.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink10URL"; Value = "https://datasheet.ciiva.com/6137/485442-6137967.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink11Description"; Value = "https://datasheet.ciiva.com/9117/aoa0000ce26-9117711.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink11URL"; Value = "https://datasheet.ciiva.com/9117/aoa0000ce26-9117711.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink12Description"; Value = "https://datasheet.ciiva.com/16776/70068849-16776671.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink12URL"; Value = "https://datasheet.ciiva.com/16776/70068849-16776671.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink13Description"; Value = "https://datasheet.ciiva.com/48425/era-eng-tds-48425471.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink13URL"; Value = "https://datasheet.ciiva.com/48425/era-eng-tds-48425471.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Panasonic"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = "ERA-3AEB473V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Rated Power"; Value = "0.1 W"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Resistance"; Value = "47 kO"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Size Code"; Value = "0603"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Stock 1"; Value = "0"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "Farnell"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "1577628"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Temp Coefficient"; Value = "±25 ppm/°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance (%)"; Value = "±0.1 %"; VariantName = "[No Variations]"
Change component parameters: Designator = "R6"; Footprint = "0603 RES"; UniqueID = "\PELWMMQW"
Change component parameters. Clean all parameters for all variants
Change component parameters (AddParameter): Name = "Case Size"; Value = "0603 (1608 Metric)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "https://datasheet.ciiva.com/11808/0900766b80fe20f7-11808030.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = "https://datasheet.ciiva.com/11808/0900766b80fe20f7-11808030.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = "https://datasheet.ciiva.com/29183/451655-da-01-en-widerstand-0603-era-29183868.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = "https://datasheet.ciiva.com/29183/451655-da-01-en-widerstand-0603-era-29183868.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink3Description"; Value = "https://datasheet.ciiva.com/5734/485442-5734533.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink3URL"; Value = "https://datasheet.ciiva.com/5734/485442-5734533.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink4Description"; Value = "https://datasheet.ciiva.com/16202/aoa0000ce26-16202041.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink4URL"; Value = "https://datasheet.ciiva.com/16202/aoa0000ce26-16202041.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink5Description"; Value = "https://datasheet.ciiva.com/46422/485442-46422521.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink5URL"; Value = "https://datasheet.ciiva.com/46422/485442-46422521.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink6Description"; Value = "https://datasheet.ciiva.com/9186/aoa0000ce26-9186700.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink6URL"; Value = "https://datasheet.ciiva.com/9186/aoa0000ce26-9186700.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink7Description"; Value = "https://datasheet.ciiva.com/30100/54aoa0000ce26-30100782.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink7URL"; Value = "https://datasheet.ciiva.com/30100/54aoa0000ce26-30100782.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink8Description"; Value = "https://datasheet.ciiva.com/48530/era-eng-tds-48530350.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink8URL"; Value = "https://datasheet.ciiva.com/48530/era-eng-tds-48530350.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink9Description"; Value = "https://datasheet.ciiva.com/16724/70068849-16724943.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink9URL"; Value = "https://datasheet.ciiva.com/16724/70068849-16724943.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink10Description"; Value = "https://datasheet.ciiva.com/46388/485442-46388111.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink10URL"; Value = "https://datasheet.ciiva.com/46388/485442-46388111.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Height - Max"; Value = "0.55 mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Panasonic"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = "ERA-3AEB104V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "No. of Terminations"; Value = "2"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Operating Temp Range"; Value = "-55 to +155 °C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Overload Voltage - Max"; Value = "150 V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Pricing 1"; Value = "10=0.166, 100=0.0958, 500=0.077, 1000=0.0481 (GBP)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Rated Power"; Value = "0.1 W"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Resistance"; Value = "100 kO"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Stock 1"; Value = "8907"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "Farnell"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "1577632"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Technology"; Value = "Thin Film"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Temp Coefficient"; Value = "±25 ppm/°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance (%)"; Value = "±0.1 %"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Working Voltage-Nom"; Value = "75 V"; VariantName = "[No Variations]"
Change component parameters: Designator = "C2"; Footprint = "2512 CAP"; UniqueID = "\LESGHNPE"
Change component parameters. Clean all parameters for all variants
Change component parameters (AddParameter): Name = "Capacitance"; Value = "22000000 pF"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Case Code"; Value = "D"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Case Style"; Value = "Molded"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "https://datasheet.ciiva.com/18095/getdatasheetpartid-114912-18095782.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = "https://datasheet.ciiva.com/18095/getdatasheetpartid-114912-18095782.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = "https://datasheet.ciiva.com/12882/kem-t2005-t491-12882636.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = "https://datasheet.ciiva.com/12882/kem-t2005-t491-12882636.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink3Description"; Value = "https://datasheet.ciiva.com/22698/1854511-22698957.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink3URL"; Value = "https://datasheet.ciiva.com/22698/1854511-22698957.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Construction"; Value = "SMT Chip"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "DCL"; Value = "7.7 uA"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "DF"; Value = "6%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ESR"; Value = "0.7 ohm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Failure Rate"; Value = "Not Required"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Insulation"; Value = "Not Required"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Lead Spacing (nom)"; Value = "Not Required mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Length W/Weld"; Value = "Not Required mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Length W/Weld (max)"; Value = "Not Required mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "KEMET"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = "T491D226K035AT"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mounting Style"; Value = "Surface Mount"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Operating Temp Range"; Value = "-55C to 125C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package / Case"; Value = "7343-31"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Packaging"; Value = "Tape and Reel"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Polarity"; Value = "Polar"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Product Depth (mm)"; Value = "4.3 mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Product Diameter (mm)"; Value = "Not Required mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Product Height (mm)"; Value = "2.8 mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Product Length (mm)"; Value = "7.3 mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Rad Hardened"; Value = "No"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Seal"; Value = "Not Required"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Seated Plane Height"; Value = "Not Required mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Stock 1"; Value = "0"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "Farnell"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "1457504"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance (+ or -)"; Value = "10%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage"; Value = "35VDC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Wire Form"; Value = "Not Required"; VariantName = "[No Variations]"
Change component parameters: Designator = "R8"; Footprint = "0603 RES"; UniqueID = "\CTXAHXYI"
Change component parameters. Clean all parameters for all variants
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "https://datasheet.ciiva.com/29183/451825-da-01-en-widerstand-0603-era-29183898.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = "https://datasheet.ciiva.com/29183/451825-da-01-en-widerstand-0603-era-29183898.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = "https://datasheet.ciiva.com/5998/485442-5998805.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = "https://datasheet.ciiva.com/5998/485442-5998805.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink3Description"; Value = "https://datasheet.ciiva.com/9183/aoa0000ce26-9183317.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink3URL"; Value = "https://datasheet.ciiva.com/9183/aoa0000ce26-9183317.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink4Description"; Value = "https://datasheet.ciiva.com/22739/485442-22739477.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink4URL"; Value = "https://datasheet.ciiva.com/22739/485442-22739477.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink5Description"; Value = "https://datasheet.ciiva.com/48530/era-eng-tds-48530389.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink5URL"; Value = "https://datasheet.ciiva.com/48530/era-eng-tds-48530389.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink6Description"; Value = "https://datasheet.ciiva.com/5998/485442-5998807.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink6URL"; Value = "https://datasheet.ciiva.com/5998/485442-5998807.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink7Description"; Value = "https://datasheet.ciiva.com/25652/aoa0000ce26-25652696.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink7URL"; Value = "https://datasheet.ciiva.com/25652/aoa0000ce26-25652696.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink8Description"; Value = "https://datasheet.ciiva.com/16760/70068849-16760202.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink8URL"; Value = "https://datasheet.ciiva.com/16760/70068849-16760202.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink9Description"; Value = "https://datasheet.ciiva.com/46422/485442-46422650.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink9URL"; Value = "https://datasheet.ciiva.com/46422/485442-46422650.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink10Description"; Value = "https://datasheet.ciiva.com/46422/485442-46422651.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink10URL"; Value = "https://datasheet.ciiva.com/46422/485442-46422651.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink11Description"; Value = "https://datasheet.ciiva.com/46422/485442-46422652.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink11URL"; Value = "https://datasheet.ciiva.com/46422/485442-46422652.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink12Description"; Value = "https://datasheet.ciiva.com/48425/era-eng-tds-48425454.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink12URL"; Value = "https://datasheet.ciiva.com/48425/era-eng-tds-48425454.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink13Description"; Value = "https://datasheet.ciiva.com/30135/54aoa0000ce26-30135311.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink13URL"; Value = "https://datasheet.ciiva.com/30135/54aoa0000ce26-30135311.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink14Description"; Value = "https://datasheet.ciiva.com/43455/485442-43455391.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink14URL"; Value = "https://datasheet.ciiva.com/43455/485442-43455391.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Panasonic"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = "ERA-3AEB304V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Pricing 1"; Value = "10=0.209, 100=0.124, 500=0.0974, 1000=0.0606 (EUR)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Rated Power"; Value = "0.1 W"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Resistance"; Value = "300 kO"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Size Code"; Value = "0603"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Stock 1"; Value = "13349"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "Farnell"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "1670209"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Temp Coefficient"; Value = "±25 ppm/°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance (%)"; Value = "±0.1 %"; VariantName = "[No Variations]"
Change component parameters: Designator = "C3"; Footprint = "1206 CAP"; UniqueID = "\YGOVQROB"
Change component parameters. Clean all parameters for all variants
Change component parameters (AddParameter): Name = "Brand"; Value = "Vishay / Sprague"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Capacitance"; Value = "2.2 uF"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Case Code - in"; Value = "1206"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Case Code - mm"; Value = "3216"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "http://www.mouser.com/ds/2/427/tmcm-515668.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = "http://www.mouser.com/ds/2/427/tmcm-515668.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = "http://www.farnell.com/datasheets/1948250.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = "http://www.farnell.com/datasheets/1948250.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink3Description"; Value = "http://www.vishay.com/docs/40178/tmcm.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink3URL"; Value = "http://www.vishay.com/docs/40178/tmcm.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Dissipation Factor DF"; Value = "8"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ESR"; Value = "4.4 Ohms"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Factory Pack Quantity"; Value = "2000"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Height"; Value = "1.8 mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Leakage Current"; Value = "800 nA"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Length"; Value = "3.2 mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Vishay Sprague"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = "TMCMA1V225MTRF"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Maximum Operating Temperature"; Value = "+ 125 C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mfr Case Code"; Value = "A Case"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Minimum Operating Temperature"; Value = "- 55 C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Operating Temperature Range"; Value = "- 55 C to + 125 C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package / Case"; Value = "1206 (3216 metric)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Packaging"; Value = "Reel"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Pricing 1"; Value = "5=0.274, 50=0.228, 250=0.166, 500=0.153, 1000=0.14, 2000=0.122, 10000=0.119 (EUR)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Product"; Value = "Tantalum Solid Surface Mounts"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Product Category"; Value = "Tantalum Capacitors - Solid SMD"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Ripple Current"; Value = "133 mA"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "RoHS"; Value = "True"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Series"; Value = "TMCM"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Stock 1"; Value = "209"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "Farnell"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "2491481"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Termination Style"; Value = "SMD/SMT"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance"; Value = "20 %"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Type"; Value = "Solid Tantalum Surface Mount Chip Capacitors, Molded Case, Extended Range"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Unit Weight"; Value = "0.000571 oz"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage Rating"; Value = "35 V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Width"; Value = "1.6 mm"; VariantName = "[No Variations]"
Change component parameters: Designator = "R3"; Footprint = "0603 RES"; UniqueID = "\CLOAMTXU"
Change component parameters. Clean all parameters for all variants
Change component parameters (AddParameter): Name = "Brand"; Value = "Vishay / Dale"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Case Code - in"; Value = "0805"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Case Code - mm"; Value = "2012"; VariantName = "[No Variations]"
